station_name,station_latitude,station_longitude,station_zip
Dawson St & Intervale Ave,40.819998999999996,-73.897263,10459
W 48 St & Rockefeller Plaza,40.757936462436746,-73.97960275411606,10036
Broadway & 12 St,40.7668,-73.93477740000002,11373
21 St & 38 Ave,40.7576314,-73.9391224,11101
Walnut Ave & E 136 St,40.801657,-73.909513,10454
Prospect Ave & Jennings St,40.831762,-73.89685300000001,10456
St Nicholas Ave & W 150 St,40.827212,-73.942722,10031
Great Jones St,40.72743423,-73.99379025,10012
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,11249
28 Ave & 35 St,40.7671,-73.9169858,11101
3 St & 3 Ave,40.675070500000004,-73.98775226,11215
3 Ave & E 163 St,40.823871999999994,-73.908699,10456
3 Ave & E 172 St,40.839586,-73.900277,10457
Gerard Ave & McClellan St,40.833909000000006,-73.92112,10452
W 47 St & 6 Ave,40.758396999999995,-73.98255,10111
Jackson St & Leonard St,40.716380319735606,-73.94821286201476,11211
24 St & 41 Ave,40.752474,-73.939991,11101
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,11231
31 Ave & 30 St,40.7647,-73.9240312,11102
Roebling St & N 4 St,40.714690000000004,-73.95739,11211
W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028,10025
Madison Av & E 51 St,40.75863,-73.97513000000001,10022
Railroad Ave & Kay Ave,40.70531194,-73.97100056,11251
Gerard Ave & E 146 St,40.817755,-73.92965,10451
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,11206
3 St & 7 Ave,40.67038370000001,-73.97839676,11215
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,10023
1 Ave & E 30 St,40.74144387,-73.97536082,10002-1013
Broadway & Battery Pl,40.70463334,-74.01361706,10275
Fulton Ave & St. Paul's Pl,40.83545,-73.90153000000001,10456
W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,100014
N 6 St & Bedford Ave,40.71745169,-73.95850939,11249
St Nicholas Ave & E 134 St,40.816234,-73.948222,10030
McKibbin St & Manhattan Ave,40.70510918,-73.94407279,11206
E 5 St & Avenue C,40.72299208,-73.97995466,10009
Madison St & Montgomery St,40.713126,-73.984844,10002
31 St & Hoyt Ave N,40.771152799999996,-73.9170074,11102
8 Ave & W 16 St,40.740983,-74.00170200000001,10011
Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,11217
India St & Manhattan Ave,40.73232194,-73.9550858,11222
38 Ave & 29 St,40.75473,-73.93366999999999,11101
Ogden Ave & W 164 St,40.832812,-73.929372,10452
